timestamp,model,perspective,test_type,gt_name,size_mb,fps,ram_max_gb,vram_used_mib,vram_free_mib,gpu_util_pct
2026-05-20T13:22:44,dreamx-world_small,1st_data,mirror_test,data-74,0.93,24.00,0.03,1117,31071,0
2026-05-20T14:29:57,matrix-game-3,1st_data,action_space_test,data-7-1.4x-250,5.43,24.00,0.04,702,31486,6
2026-05-20T14:50:35,matrix-game-3,1st_data,action_space_test,data-8-1.2x-225,3.66,24.00,0.04,842,31346,3
2026-05-20T15:05:06,matrix-game-3,1st_data,action_space_test,data-9-1.4x-250,4.80,24.00,0.04,438,31750,4
2026-05-20T15:15:42,matrix-game-3,1st_data,mem_test,data-25,4.89,24.00,0.04,514,31674,2
2026-05-20T15:26:50,matrix-game-3,1st_data,mem_test,data-26,7.35,24.00,0.04,504,31684,2
2026-05-20T15:36:30,matrix-game-3,1st_data,mem_test,data-27,4.42,24.00,0.04,491,31697,2
2026-05-20T15:46:36,matrix-game-3,1st_data,mem_test,data-28,3.45,24.00,0.04,480,31708,4
2026-05-20T15:56:51,matrix-game-3,1st_data,mem_test,data-29,6.14,24.00,0.04,486,31702,5
2026-05-20T16:07:34,matrix-game-3,1st_data,mem_test,data-30,1.68,24.00,0.04,527,31661,5
2026-05-20T16:17:12,matrix-game-3,1st_data,mem_test,data-31,5.08,24.00,0.04,531,31657,2
2026-05-20T16:27:56,matrix-game-3,1st_data,mem_test,data-32,7.94,24.00,0.04,524,31664,2
2026-05-20T16:38:37,matrix-game-3,1st_data,mem_test,data-33,4.01,24.00,0.04,534,31654,2
2026-05-20T17:17:18,matrix-game-3,1st_data,mem_test,data-34,7.94,24.00,0.04,740,31448,1
2026-05-20T18:02:21,matrix-game-3,1st_data,mem_test,data-35,5.21,24.00,0.04,920,31268,5
2026-05-20T18:51:45,matrix-game-3,1st_data,mem_test,data-36,5.67,24.00,0.04,835,31353,6
2026-05-21T18:15:44,matrix-game-3,1st_data,mem_test,data-38,15.49,24.00,0.04,949,31239,4
2026-05-21T18:39:35,matrix-game-3,1st_data,mem_test,data-39,6.32,24.00,0.03,942,31246,4
2026-05-21T20:08:27,matrix-game-3,1st_data,mem_test,data-40,6.90,24.00,0.02,950,31238,5
2026-05-21T20:44:01,matrix-game-3,1st_data,mem_test,data-41,9.22,24.00,0.03,17366,14822,100
2026-05-22T07:19:04,matrix-game-3,1st_data,mem_test,data-37,5.31,24.00,0.04,762,31426,3
2026-05-22T07:35:45,matrix-game-3,1st_data,mem_test,data-42,3.28,24.00,0.04,801,31387,2
2026-05-22T07:50:02,matrix-game-3,1st_data,mem_test,data-43,5.06,24.00,0.04,676,31512,2
2026-05-22T08:13:13,matrix-game-3,1st_data,mem_test,data-44,6.56,24.00,0.04,751,31437,3
2026-05-22T08:49:49,matrix-game-3,1st_data,mem_test,data-45,6.40,24.00,0.04,831,31357,4
2026-05-22T09:35:00,matrix-game-3,1st_data,mem_test,data-46,3.63,24.00,0.03,992,31196,7
2026-05-22T17:36:42,matrix-game-3,1st_data,mem_test,data-47,0.07,24.00,0.04,1345,30843,3
2026-05-22T17:59:57,matrix-game-3,1st_data,mem_test,data-48,0.05,24.00,0.04,850,31338,5
2026-05-22T18:24:40,matrix-game-3,1st_data,mem_test,data-49,0.05,24.00,0.04,809,31379,2
2026-05-22T18:53:10,matrix-game-3,1st_data,mem_test,data-50,0.06,24.00,0.03,864,31324,6
2026-05-22T19:24:47,matrix-game-3,1st_data,mirror_test,data-52,0.07,24.00,0.02,934,31254,2
2026-05-22T19:53:41,matrix-game-3,1st_data,mirror_test,data-33,0.05,24.00,0.02,594,31594,4
2026-05-22T21:13:20,matrix-game-3,1st_data,mirror_test,data-34,0.06,24.00,0.02,985,31203,1
2026-05-22T21:32:48,matrix-game-3,1st_data,mirror_test,data-35,0.04,24.00,0.03,8917,23271,0
2026-05-23T08:37:19,matrix-game-3,1st_data,mem_test,data-51,0.06,24.00,0.03,665,31523,1
2026-05-23T08:58:57,matrix-game-3,1st_data,mem_test,data-52,0.08,24.00,0.03,798,31390,5
2026-05-23T09:21:28,matrix-game-3,1st_data,mem_test,data-53,0.06,24.00,0.03,500,31688,3
2026-05-23T09:32:00,matrix-game-3,1st_data,mem_test,data-54,0.05,24.00,0.03,495,31693,5
2026-05-23T09:45:05,matrix-game-3,1st_data,mem_test,data-55,0.05,24.00,0.03,463,31725,2
2026-05-23T09:59:14,matrix-game-3,1st_data,mem_test,data-56,0.05,24.00,0.03,720,31468,2
2026-05-23T10:15:48,matrix-game-3,1st_data,mem_test,data-57,0.06,24.00,0.03,1029,31159,1
2026-05-23T10:38:12,matrix-game-3,1st_data,mem_test,data-58,0.05,24.00,0.03,1015,31173,32
2026-05-23T11:00:55,matrix-game-3,1st_data,mem_test,data-59,0.07,24.00,0.03,1130,31058,3
